Data used in the analysis.  Please note that blank fields indicate that data were not provided in the original publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,marine,,adult,,,,,enzymes: U/g tissue; metabolic rate = MR: umol/g/h; locomotion: BL/s,,,,,,acclimatization temps for terrestrial or large animals = mean body temperatures,,variation as s.e.,,,,,,,,,,,,,,,,,,,,,,
Chordata,Reptilia,Squamata,Scincidae,Bassiana,duperreyi,Bassiana duperreyi,0.000460000,0.460000000,-0.337242168,in situ,Du et al 2010 PLoS ONE 5 e15311,t,w,l,"Brindabella Range, Australia",35.21,35.21,148.5,1,25,1.397940009,HR,rest,20,30,52,2,22,124,4,22,50,2,25,126,5,25,2.384615385,2.423076923,1.423076923,0.153533449,-0.153533449,23,3.667,,beats/min,,Du et al 2010 PLoS ONE 5 e15310,Complete
Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,undulatus,Sceloporus undulatus,0.000410000,0.410000000,-0.387216143,in situ,Du et al 2010 PLoS ONE 5 e15311,t,w,l,"Teasdale MI, USA",34.16,34.16,90.02,1,28,1.447158031,HR,rest,20,28,45,2,32,103,2,32,38,1,29,100,2,29,2.815340246,2.713215927,1.713215927,0.234065526,-0.234065526,31,2.000,,beats/min,,Du et al 2010 PLoS ONE 5 e15309,Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.020000000,20.000000000,1.301029996,ex situ,http://jeb.biologists.org/content/jexbio/203/12/1937.full.pdf,f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,60,1.77815125,HOAD,"muscle, external oblique, males",15,25,6.4,2.1,5,12.6,3,5,3.4,0.3,5,5.3,1,5,1.96875,0.828125,0.171875,-0.762267807,0.762267807,5,2.033,,,,"Rogers et al 2007 JEB 210, 2932-2948",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.020000000,20.000000000,1.301029996,ex situ,http://jeb.biologists.org/content/jexbio/203/12/1937.full.pdf,f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,60,1.77815125,HOAD,"muscle, external oblique, females",15,25,2.1,0.2,5,3.1,0.5,5,2,0.3,5,3.2,0.4,5,1.476190476,1.523809524,0.523809524,-0.279998292,0.279998292,5,0.367,,,,"Rogers et al 2007 JEB 210, 2932-2951",Complete
Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomonix,annularis,Pomonix annularis,0.145000000,145.000000000,2.161368002,ex situ,"Tschantz et al 2002 PBZ 75, 544-584",f,w,a,Portage Lakes,41,41,81.5,1,42,1.62324929,Hexokinase,heart,5,25,5.5,0.03,4,23,4,4,2,0.05,4,8.5,2,4,2.044949433,1.243163121,0.243163121,-0.612319932,0.612319932,4,2.010,,Confounded body size with acclimation temperature,,"Tschantz et al 2002 PBZ 75, 544-559",Complete
Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,Micropterus salmoides,0.121000000,121.000000000,2.082785370,ex situ,"Tschantz et al 2002 PBZ 75, 544-584",f,c,a,"Baltic, OH, USA",40.45,40.45,81.7,1,42,1.62324929,Hexokinase,heart,5,25,6,0.08,3,13,1.5,3,5,0.6,3,16,2.5,3,1.471960144,1.632993162,0.632993162,-0.197915426,0.197915426,3,1.360,,Confounded body size with acclimation temperature,,"Tschantz et al 2002 PBZ 75, 544-556",Complete
Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomonix,nigromaculatus,Pomonix nigromaculatus,0.090000000,90.000000000,1.954242509,ex situ,"Tschantz et al 2002 PBZ 75, 544-584",f,c,a,"Baltic, OH, USA",40.45,40.45,81.7,1,42,1.62324929,Hexokinase,heart,5,25,3,0.08,3,12,0.08,3,3.5,0.05,3,14,4,3,2,2.160246899,1.160246899,0.064924567,-0.064924567,3,1.387,,Confounded body size with acclimation temperature,,"Tschantz et al 2002 PBZ 75, 544-560",Complete
Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus,Lepomis cyanellus,0.063500000,63.500000000,1.802773725,ex situ,"Tschantz et al 2002 PBZ 75, 544-584",f,c,a,"Baltic, OH, USA",40.45,40.45,81.7,1,42,1.62324929,Hexokinase,heart,5,25,4,0.05,5,17.5,2,5,3,0.02,5,12,1,5,2.091650066,1.732050808,0.732050808,-0.134865923,0.134865923,5,1.017,,Confounded body size with acclimation temperature,,"Tschantz et al 2002 PBZ 75, 544-557",Complete
Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,Lepomis macrochirus,0.046000000,46.000000000,1.662757832,ex situ,"Tschantz et al 2002 PBZ 75, 544-584",f,w,a,Bath Nature Reserve,41.15,41.15,81.65,1,42,1.62324929,Hexokinase,heart,5,25,1.5,0.08,7,9.5,3.5,7,2,0.08,5,10.8,2.2,5,2.516611478,2.683281573,1.683281573,0.226414697,-0.226414697,6.333333333,1.927,,Confounded body size with acclimation temperature,,"Tschantz et al 2002 PBZ 75, 544-558",Complete
Chordata,Amphibia,Anura,Ranidae,Rana,catesbeiana,Rana catesbeiana,0.621000000,621.000000000,2.793091600,in situ,"Weathers, W. W. (1976). ""INFLUENCE OF TEMPERATURE-ACCLIMATION ON OXYGEN-CONSUMPTION, HEMODYNAMICS AND OXYGEN-TRANSPORT IN BULLFROGS."" Australian Journal of Zoology 24(3): 321-330.",f,w,a,"Rayne, Louisana",30.2375,30.2375,-92.268,1,14,1.146128036,Heart rate,rest,5,20,8,0.3,8,26.9,1.5,8,8.1,0.5,7,21.2,1.6,8,2.244441009,1.91497856,0.91497856,-0.038114692,0.038114692,8,1.133,,bpm,,"Weathers, W. W. (1976). ""INFLUENCE OF TEMPERATURE-ACCLIMATION ON OXYGEN-CONSUMPTION, HEMODYNAMICS AND OXYGEN-TRANSPORT IN BULLFROGS."" Australian Journal of Zoology 24(3): 321-330.",Complete
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Onchorhynchus,mykiss,Onchorhynchus mykiss,0.072500000,72.500000000,1.860338007,ex situ,"Aho and Vornanen 2001 J Comp Physiol B 171, 173-179",f,c,j,"Kontiolahti, Finland",62.75,62.75,29.8,1,28,1.447158031,heart rate,heart,4,17,32,1,15,75,4,15,25,1,15,88,2,15,1.925516047,2.177450174,1.177450174,0.071311225,-0.071311225,15,2.333,,in beats/min,,"Aho and Vornanen 2001 J Comp Physiol B 171, 173-179",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,Carassius auratus,0.001000000,1.000000000,0.000000000,ex situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,f,c,a,"Osaka, Japan",34.7,34.7,,1,60,1.77815125,Heart rate,bpm,10,25,16.8,2,9,40.7,5.1,9,13.1,0.6,9,66.8,6.9,9,1.803807071,2.50983278,1.50983278,0.179216399,-0.179216399,9,4.667,,,isolated heart,"Tsukuda, H. (1990). ""TEMPERATURE-DEPENDENCE OF THE FREQUENCY AND AMPLITUDE OF BEAT OF THE ISOLATED HEART FROM THERMALLY ACCLIMATED GOLDFISH."" Journal of Thermal Biology 15(2): 171-175.",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,Carassius auratus,0.001000000,1.000000000,0.000000000,ex situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,f,c,a,"Osaka, Japan",34.7,34.7,,1,60,1.77815125,Heart rate,bpm,10,25,23.7,3.7,7,52.8,3.4,7,17.6,1.5,7,48.4,5.8,7,1.705782748,1.609649592,0.609649592,-0.214207929,0.214207929,7,4.300,,,,"Tsukuda, H. (1990). ""TEMPERATURE-DEPENDENCE OF THE FREQUENCY AND AMPLITUDE OF BEAT OF THE ISOLATED HEART FROM THERMALLY ACCLIMATED GOLDFISH."" Journal of Thermal Biology 15(2): 171-175.",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,Carassius auratus,0.001000000,1.000000000,0.000000000,ex situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,f,c,a,"Osaka, Japan",34.7,34.7,,1,60,1.77815125,Heart rate,heart,10,25,19.8,3.2,8,60.8,4.8,8,15,1.6,8,63.3,9.9,8,2.112640459,2.170162959,1.170162959,0.068617328,-0.068617328,8,5.967,,bpm,,"Tsukuda, H. and T. Yonehana (1990). ""EFFECTS OF EXOGENOUS LACTATE OF VARIOUS CONCENTRATION ON THE ISOLATED HEART BEAT OF THERMALLY ACCLIMATED GOLDFISH."" Comparative Biochemistry and Physiology a-Physiology 96(1): 157-162.",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,Carassius auratus,0.001000000,1.000000000,0.000000000,ex situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,f,c,a,"Osaka, Japan",34.7,34.7,,1,60,1.77815125,Heart rate,heart,10,25,203.2,41.9,8,975.3,148.4,8,100.8,17.5,8,759,165.8,8,2.845397946,2.407384065,1.407384065,0.148721103,-0.148721103,8,118.700,,power output - freq x amp,isolated heart,"Tsukuda, H. and T. Yonehana (1990). ""EFFECTS OF EXOGENOUS LACTATE OF VARIOUS CONCENTRATION ON THE ISOLATED HEART BEAT OF THERMALLY ACCLIMATED GOLDFISH."" Comparative Biochemistry and Physiology a-Physiology 96(1): 157-162.",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,Pimephales promelas,0.004025000,4.025000000,0.604765885,ex situ,"Tatakis, T. A. and R. G. Hart (1985). ""THERMAL-ACCLIMATION IN SELECTED TISSUES OF THE FATHEAD MINNOW, PIMEPHALES-PROMELAS RAFINESQUE."" Journal of Fish Biology 26(4): 465-473.",f,c,a,Pennsylvania,41,41,-77.5,1,14,1.146128036,Gill MR,gills,7,15,0.917,0.12,17,1.069,0.05,20,0.674,0.05,19,0.918,0.07,20,1.21132439,1.001363326,0.001363326,-2.626476286,2.626476286,19,0.080,,ul/mg/h,,"Tatakis, T. A. and R. G. Hart (1985). ""THERMAL-ACCLIMATION IN SELECTED TISSUES OF THE FATHEAD MINNOW, PIMEPHALES-PROMELAS RAFINESQUE."" Journal of Fish Biology 26(4): 465-473.",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,Pimephales promelas,0.004025000,4.025000000,0.604765885,ex situ,"Tatakis, T. A. and R. G. Hart (1985). ""THERMAL-ACCLIMATION IN SELECTED TISSUES OF THE FATHEAD MINNOW, PIMEPHALES-PROMELAS RAFINESQUE."" Journal of Fish Biology 26(4): 465-473.",f,c,a,Pennsylvania,41,41,-77.5,1,14,1.146128036,Gill MR,gills,7,23,0.917,0.12,17,1.587,0.25,18,0.668,0.07,19,1.438,0.1,20,1.408898622,1.324702845,0.324702845,-0.487178448,0.487178448,18.33333333,0.157,,ul/mg/h,,"Tatakis, T. A. and R. G. Hart (1985). ""THERMAL-ACCLIMATION IN SELECTED TISSUES OF THE FATHEAD MINNOW, PIMEPHALES-PROMELAS RAFINESQUE."" Journal of Fish Biology 26(4): 465-473.",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,Pimephales promelas,0.004025000,4.025000000,0.604765885,ex situ,"Tatakis, T. A. and R. G. Hart (1985). ""THERMAL-ACCLIMATION IN SELECTED TISSUES OF THE FATHEAD MINNOW, PIMEPHALES-PROMELAS RAFINESQUE."" Journal of Fish Biology 26(4): 465-473.",f,c,a,Pennsylvania,41,41,-77.5,1,14,1.146128036,Gill MR,gills,15,23,0.918,0.07,20,1.327,0.09,20,0.892,0.06,19,1.438,0.1,20,1.585022027,1.752448468,0.752448468,-0.122946446,0.122946446,20,0.087,,ul/mg/h,,"Tatakis, T. A. and R. G. Hart (1985). ""THERMAL-ACCLIMATION IN SELECTED TISSUES OF THE FATHEAD MINNOW, PIMEPHALES-PROMELAS RAFINESQUE."" Journal of Fish Biology 26(4): 465-473.",Complete
Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphina,magna,Daphina magna,0.000000060,0.000060000,-4.221848750,in situ,Dell database,f,c,a,Germany,50,50,,1,70,1.84509804,Filtering rates,ml/h,5,10,0.7,0.01,25,1.6,0.2,25,0.55,0.05,25,0.67,0.01,25,5.224489796,0.916122449,0.083877551,-1.07120716,1.07120716,25,0.073,,,,"McKee, D. (1995). ""LONG-TERM TEMPERATURE-ACCLIMATION IN DAPHNIA-MAGNA - EFFECTS ON FILTERING RATES."" Journal of Plankton Research 17(5): 1095-1103.",Complete
Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphina,magna,Daphina magna,0.000000060,0.000060000,-4.221848750,in situ,Dell database,f,c,a,Germany,50,50,,1,70,1.84509804,Filtering rates,ml/h,10,15,0.67,0.01,25,1.9,0.25,25,0.8,0.25,25,2.4,0.3,25,8.041880151,12.83136556,11.83136556,1.073071579,-1.073071579,25,0.187,,,,"McKee, D. (1995). ""LONG-TERM TEMPERATURE-ACCLIMATION IN DAPHNIA-MAGNA - EFFECTS ON FILTERING RATES."" Journal of Plankton Research 17(5): 1095-1103.",Complete
Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphina,magna,Daphina magna,0.000000060,0.000060000,-4.221848750,in situ,Dell database,f,c,a,Germany,50,50,,1,70,1.84509804,Filtering rates,ml/h,15,24,2.4,0.3,25,2.5,0.05,25,0.8,0.07,25,2.8,0.2,25,1.046402166,1.186821272,0.186821272,-0.726255222,0.726255222,25,0.183,,,,"McKee, D. (1995). ""LONG-TERM TEMPERATURE-ACCLIMATION IN DAPHNIA-MAGNA - EFFECTS ON FILTERING RATES."" Journal of Plankton Research 17(5): 1095-1103.",Complete
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus ,scorpius ,Myoxocephalus  scorpius ,0.400000000,400.000000000,2.602059991,ex situ,http://jeb.biologists.org/content/jexbio/201/7/913.full.pdf,m,w,a,"St Andrews, Scotland",56.3404,56.3404,-2.7955,1,50,1.698970004,Fibre Vmax,muscle length s-1,5,15,3.7,0.2,8,3,0.7,5,3.6,0.5,5,7.1,0.9,5,0.810810811,1.918918919,0.918918919,-0.036250449,0.036250449,6,0.600,,muscle length s-1,,"Beddow, T. A. and I. A. Johnston (1995). ""PLASTICITY OF MUSCLE CONTRACTILE PROPERTIES FOLLOWING TEMPERATURE-ACCLIMATION IN THE MARINE FISH MYOXOCEPHALUS-SCORPIUS."" Journal of Experimental Biology 198(1): 193-201.",Complete
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus ,scorpius ,Myoxocephalus  scorpius ,0.400000000,400.000000000,2.602059991,ex situ,http://jeb.biologists.org/content/jexbio/201/7/913.full.pdf,m,w,a,"St Andrews, Scotland",56.3404,56.3404,-2.7955,2,50,1.698970004,Fibre Vmax,muscle length s-1,5,15,4.4,0.4,10,4,0.3,7,3.2,0.7,7,6.4,0.5,7,0.909090909,1.454545455,0.454545455,-0.341468282,0.341468282,8,0.400,,muscle length s-1,,"Beddow, T. A. and I. A. Johnston (1995). ""PLASTICITY OF MUSCLE CONTRACTILE PROPERTIES FOLLOWING TEMPERATURE-ACCLIMATION IN THE MARINE FISH MYOXOCEPHALUS-SCORPIUS."" Journal of Experimental Biology 198(1): 193-201.",Complete
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Onchorhynchus,mykiss,Onchorhynchus mykiss,0.342500000,342.500000000,2.534660576,ex situ,"Bouchard and Guderley 2003 JEB 206, 3455-3465",f,c,j,"Ile d'Orleans, Quebec, Canada",46.56,46.56,70.58,1,56,1.748188027,CS,"muscle, red",5,15,17.1,0.6,15,28.4,0.7,15,14.2,0.6,14,22.6,0.9,14,1.660818713,1.321637427,0.321637427,-0.491285255,0.491285255,14.66666667,0.733,,,,"Bouchard and Guderley 2003 JEB 206, 3455-3465",Complete
Chordata,Reptilia,Crocodylia,Crocodilidae,Crocodylus,porosus,Crocodylus porosus,0.177000000,177.000000000,2.247973266,ex situ,"Glanville and Seebacher 2006 JEB 209, 4869-4877",f,c,j,"Darwin, Australia",12.45,12.45,130.86,1,33,1.51851394,CS,heart,20,29,9.9,1.3,8,8.1,2.4,8,11.4,0.6,9,16.4,1.4,9,0.800140902,1.75212534,0.75212534,-0.12313274,0.12313274,8.333333333,1.700,,,,"Glanville and Seebacher 2006 JEB 209, 4869-4886",Complete
Chordata,Reptilia,Crocodylia,Crocodilidae,Crocodylus,porosus,Crocodylus porosus,0.177000000,177.000000000,2.247973266,ex situ,"Glanville and Seebacher 2006 JEB 209, 4869-4877",f,c,j,"Darwin, Australia",12.45,12.45,130.86,1,33,1.51851394,CS,"muscle, mixed",20,29,2.8,0.5,8,5.2,0.7,8,3,0.6,9,8.3,1.4,9,1.989376638,3.344688087,2.344688087,0.370270262,-0.370270262,8.333333333,0.867,,,,"Glanville and Seebacher 2006 JEB 209, 4869-4884",Complete
Chordata,Reptilia,Crocodylia,Crocodilidae,Crocodylus,porosus,Crocodylus porosus,0.177000000,177.000000000,2.247973266,ex situ,"Glanville and Seebacher 2006 JEB 209, 4869-4877",f,c,j,"Darwin, Australia",12.45,12.45,130.86,1,33,1.51851394,CS,liver  ,20,29,3,0.6,8,4.4,0.8,8,2.7,0.5,9,5.6,0.6,9,1.530427253,2.000715342,1.000715342,0.000744326,-0.000744326,8.333333333,0.667,,,,"Glanville and Seebacher 2006 JEB 209, 4869-4885",Complete
Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,0.101000000,101.000000000,2.004321374,ex situ,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-75",f,c,j,"Sydney, Australia",33.35,33.35,151.2,1,42,1.62324929,CS,"muscle, mixed",20,30,5.300459,1.583036,9,7.735294,1.49333,9,3.797794,0.5790142,8,5.205423,0.7960835,8,1.459363048,0.982070232,0.017929768,-1.722854709,1.722854709,8.666666667,1.291,,,,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-75",Complete
Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Rhinella marina,0.101000000,101.000000000,2.004321374,ex situ,"Feder, M. E. (1982). ""ENVIRONMENTAL VARIABILITY AND THERMAL-ACCLIMATION OF METABOLISM IN TROPICAL ANURANS."" Journal of Thermal Biology 7(1): 23-28.",t,w,a,"Brisbane, Australia",27.45,27.45,153.35,1,28,1.447158031,CS,liver,20,30,7.3,0.4,10,10.3,0.7,10,9,0.5,10,12.7,1,10,1.410958904,1.739726027,0.739726027,-0.130342395,0.130342395,10,0.700,,,,"Seebacher adn Franklin 2011 JEB 214, 1437-1451",Complete
Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,0.101000000,101.000000000,2.004321374,ex situ,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-73",f,c,j,"Sydney, Australia",33.35,33.35,151.2,1,42,1.62324929,CS,duodenum,20,30,12.72467,1.463552,9,16.25327,2.65338,9,11.57261,1.340385,8,12.48162,1.721729,8,1.277303851,0.980899308,0.019100692,-1.696788995,1.696788995,8.666666667,1.946,,,,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-72",Complete
Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,0.101000000,101.000000000,2.004321374,ex situ,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-75",f,c,j,"Sydney, Australia",33.35,33.35,151.2,1,42,1.62324929,CS,liver,20,30,12.72467,1.463552,9,16.25327,2.65338,9,11.57261,1.340385,8,12.48162,1.721729,8,1.277303851,0.980899308,0.019100692,-1.696788995,1.696788995,8.666666667,1.946,,,,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-74",Complete
Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Rhinella marina,0.101000000,101.000000000,2.004321374,ex situ,"Feder, M. E. (1982). ""ENVIRONMENTAL VARIABILITY AND THERMAL-ACCLIMATION OF METABOLISM IN TROPICAL ANURANS."" Journal of Thermal Biology 7(1): 23-28.",t,w,a,"Brisbane, Australia",27.45,27.45,153.35,1,28,1.447158031,CS,"muscle, vastis lateralis",20,30,15.1,1.2,10,22.3,1.9,10,13.7,0.5,10,19.4,0.6,10,1.476821192,1.284768212,0.284768212,-0.543986083,0.543986083,10,1.233,,,,"Seebacher adn Franklin 2011 JEB 214, 1437-1450",Complete
Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,0.101000000,101.000000000,2.004321374,ex situ,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-74",f,c,j,"Sydney, Australia",33.35,33.35,151.2,1,42,1.62324929,CS,heart,20,30,32.67239,3.15626,9,43.63521,4.530068,9,28.73438,4.651063,8,39.267,6.203501,8,1.335537743,1.201840453,0.201840453,-0.692845428,0.692845428,8.666666667,4.630,,,,"Guderley and Seebacher 2011 J. Comp. Physiol. B 181, 53-73",Complete
Chordata,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevincki,Pagothenia borchgrevincki,0.090000000,90.000000000,1.954242509,in situ,"Franklin et al 2007 JEB 210, 3068-3078",m,w,a,"Scott Base, Antarctica",77.85,77.85,166.75,1,42,1.62324929,CS,"muscle, pectoral",-1,4,56.14,4.21,10,59.31,6.17,10,55.45,3.7,10,62.77,3.69,10,1.116120362,1.250142272,0.250142272,-0.60008018,0.60008018,10,4.690,,,,"Seebacher et al. 2005 Biol Lett 1, 151-158",Complete
Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,viviparous,Zoarces viviparous,0.042800000,42.800000000,1.631443769,ex situ,"Lanning et al. 2005 Polar Biol 28, 575-584",m,w,a,"Helgoland, Germany",54.15,54.15,7.9,1,300,2.477121255,CS,liver,5,10,0.7,0.2,5,0.9,0.2,5,0.75,0.2,5,0.8,0.2,5,1.653061224,1.306122449,0.306122449,-0.512688438,0.512688438,5,0.200,,,,"Lanning et al. 2005 Polar Biol 28, 575-584",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.020000000,20.000000000,1.301029996,ex situ,http://jeb.biologists.org/content/jexbio/203/12/1937.full.pdf,f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,60,1.77815125,CS,"muscle, external oblique, males",15,25,36.9,6.3,5,53.3,8.9,5,14.5,4.3,5,26.3,3.9,5,1.444444444,0.712737127,0.287262873,-0.54021129,0.54021129,5,6.367,,,,"Rogers et al 2007 JEB 210, 2932-2947",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.020000000,20.000000000,1.301029996,ex situ,http://jeb.biologists.org/content/jexbio/203/12/1937.full.pdf,f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,60,1.77815125,CS,liver,15,25,4,0.3,5,6,0.5,5,6,0.6,5,9,1.2,5,1.5,2.25,1.25,0.09725731,-0.09725731,5,0.667,,,,"Rogers et al 2007 JEB 210, 2932-2944",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.020000000,20.000000000,1.301029996,ex situ,http://jeb.biologists.org/content/jexbio/203/12/1937.full.pdf,f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,60,1.77815125,CS,"muscle, external oblique, females",15,25,6.8,1.1,5,11.3,3.5,5,6.8,1,5,9.3,1.8,5,1.661764706,1.367647059,0.367647059,-0.433389227,0.433389227,5,2.133,,,,"Rogers et al 2007 JEB 210, 2932-2950",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.020000000,20.000000000,1.301029996,ex situ,http://jeb.biologists.org/content/jexbio/203/12/1937.full.pdf,f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,60,1.77815125,CS,"muscle, gastrocnemius",15,25,7,0.4,5,8,0.7,5,6,0.5,5,9,0.8,5,1.142857143,1.285714286,0.285714286,-0.542550668,0.542550668,5,0.633,,,,"Rogers et al 2007 JEB 210, 2932-2941",Complete
Chordata,Chondrichthyes,Orectolobiformes,Hemiscylliidae,Chiloscyllium,plagiosum,Chiloscyllium plagiosum,0.019700000,19.700000000,1.294466226,ex situ,"Tulis and Bailie 2005 J Fish Biol 67, 950-968",m,c,j,"SE-Asia, Africa",10,10,110,1,102,2.008600172,CS,"muscle, white",15,30,0.8,0.08,5,1.75,0.25,5,0.5,0.07,5,1.05,0.1,0.11,1.685124687,1.198761744,0.198761744,-0.69948768,0.69948768,3.37,0.143,,,,"Tulis and Bailie 2005 J Fish Biol 67, 950-969",Complete
Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,Notophthalmus viridescens,0.003086667,3.086666667,0.489489732,ex situ,"Berner and Puckett 2010 J. Exp. Zool. 313A, 231-239",f,c,a,"Nashville, Te, USA",36.2,36.2,86.75,1,84,1.924279286,CS,"muscle, mixed",8,26,3.8,0.1,10,8.05,0.5,10,2.3,0.1,10,5.4,0.4,10,1.517462388,1.215579659,0.215579659,-0.664382335,0.664382335,10,0.333,,,,"Berner and Puckett 2010 J. Exp. Zool. 313A, 231-241",Complete
Annelida,Polychaeta,Capitellida,Arenicolidae,Arenicola,marina,Arenicola marina,0.002500000,2.500000000,0.397940009,ex situ,http://www.sciencedirect.com/science/article/pii/S0141113601001064,m,w,a,"Dorum, Germany",53.7,53.7,66.35,1,28,1.447158031,CS,body wall,0,11,0.6,0.05,6,1.5,0.15,6,0.55,0.05,6,1.15,0.2,6,2.300189646,1.806593887,0.806593887,-0.092806977,0.092806977,6,0.133,,,,"Sommer and Portner 2004 PBZ 77, 174-186",Complete
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,Gasterosteus aculeatus,0.000692625,0.692625000,-0.159501837,ex situ,"Guderley et al 2001 PBZ 74, 66-81",f,w,j,":isle-Verte, Quebec, Canada",48,48,69.35,1,77,1.886490725,CS,"muscle, axial",8,23,6,0.113389342,7,9.5,0.188982237,7,3.6,0.188982237,7,5.5,0.56694671,7,1.358464321,0.94364279,0.05635721,-1.241411984,1.241411984,7,0.290,,STUDY CONFOUNDS TEMP AND WEIGHT,,"Guderley and Leroy 2001 J Comp Physiol B 171, 91-103",Complete
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,Gasterosteus aculeatus,0.000692625,0.692625000,-0.159501837,ex situ,"Guderley et al 2001 PBZ 74, 66-81",f,w,j,":isle-Verte, Quebec, Canada",48,48,69.35,1,77,1.886490725,CS,"muscle, axial",8,23,6.24,0.624,10,9.59,0.287767267,10,3.99,0.33836371,10,6.2,0.502802148,10,1.331749917,0.995721917,0.004278083,-2.277523781,2.277523781,10,0.472,,STUDY CONFOUNDS TEMP AND WEIGHT,,"Guderley et al 2001 PBZ 74, 66-78",Complete
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,Gasterosteus aculeatus,0.000692625,0.692625000,-0.159501837,ex situ,"Guderley et al 2001 PBZ 74, 66-81",f,w,j,":isle-Verte, Quebec, Canada",48,48,69.35,1,77,1.886490725,CS,"muscle, pectoral",8,23,22,0.755928946,7,34,1.889822365,7,17,1.889822365,7,26,1.889822365,7,1.336710904,1.117807737,0.117807737,-0.925155275,0.925155275,7,1.512,,STUDY CONFOUNDS TEMP AND WEIGHT,,"Guderley and Leroy 2001 J Comp Physiol B 171, 91-104",Complete
